,apartment,approveddate,bbl,bin,block,boroid,borough,buildingid,censustract,certifieddate,class,communityboard,councildistrict,currentstatus,currentstatusdate,currentstatusid,highhousenumber,housenumber,inspectiondate,latitude,longitude,lot,lowhousenumber,newcertifybydate,newcorrectbydate,novdescription,novid,novissueddate,novtype,nta,ordernumber,originalcertifybydate,originalcorrectbydate,postcode,registrationid,story,streetcode,streetname,violationid,violationstatus
0,,2015-02-02,1001467505,1077207,146,1,MANHATTAN,10317,33,,I,1,1,VIOLATION DISMISSED,2015-10-22,9,148,148,2015-02-02,40.716424,-74.008041,7505,148,,,"SECTION27-2107 ADM CODE   OWNER FAILED TO FILE A VALID REGISTRATION STATEMENT WITH THE DEPARTMENT AS REQUIRED BY ADM CODE ?27-2097 AND IS THEREFORE SUBJECT TO CIVIL PENALTIES, PROHIBITED FROM CERTIFYING VIOLATIONS, AND DENIED THE RIGHT TO RECOVER POSSESSION OF PREMISES FOR NONPAYMENT OF RENT UNTIL A VALID REGISTRATION STATEMENT IS FILED.",0,,,SoHo-TriBeCa-Civic Center-Little Italy,780,,,10013,143523,,16850,DUANE STREET,10528954,Close
1,,2015-10-01,1001467505,1077207,146,1,MANHATTAN,10317,33,,I,1,1,VIOLATION DISMISSED,2015-10-22,9,148,148,2015-10-01,40.716424,-74.008041,7505,148,,,"SECTION27-2107 ADM CODE   OWNER FAILED TO FILE A VALID REGISTRATION STATEMENT WITH THE DEPARTMENT AS REQUIRED BY ADM CODE ?27-2097 AND IS THEREFORE SUBJECT TO CIVIL PENALTIES, PROHIBITED FROM CERTIFYING VIOLATIONS, AND DENIED THE RIGHT TO RECOVER POSSESSION OF PREMISES FOR NONPAYMENT OF RENT UNTIL A VALID REGISTRATION STATEMENT IS FILED.",0,,,SoHo-TriBeCa-Civic Center-Little Italy,780,,,10013,143523,,16850,DUANE STREET,10889581,Close
2,4,2016-08-28,1001467505,1077207,146,1,MANHATTAN,10317,33,,B,1,1,NOV SENT OUT,2016-08-29,2,148,148,2016-08-27,40.716424,-74.008041,7505,148,,,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE INTERCOM SYSTEM  LOCATED AT APT 4, 4th STORY, 1st APARTMENT FROM SOUTH AT WEST",5502727,2016-08-29,Original,SoHo-TriBeCa-Civic Center-Little Italy,501,2016-10-17,2016-10-03,10013,143523,4,16850,DUANE STREET,11370199,Open
3,,2017-11-06,1001467505,1077207,146,1,MANHATTAN,10317,33,,I,1,1,INFO NOV SENT OUT,2017-11-06,27,148,148,2017-11-06,40.716424,-74.008041,7505,148,,,"SECTION27-2107 ADM CODE   OWNER FAILED TO FILE A VALID REGISTRATION STATEMENT WITH THE DEPARTMENT AS REQUIRED BY ADM CODE ï¿½ï¿½27-2097 AND IS THEREFORE SUBJECT TO CIVIL PENALTIES, PROHIBITED FROM CERTIFYING VIOLATIONS, AND DENIED THE RIGHT TO RECOVER POSSESSION OF PREMISES FOR NONPAYMENT OF RENT UNTIL A VALID REGISTRATION STATEMENT IS FILED.",0,,,SoHo-TriBeCa-Civic Center-Little Italy,780,,,10013,143523,,16850,DUANE STREET,12052831,Open
0,,2015-02-02,1001507504,1001645,150,1,MANHATTAN,10299,33,,I,1,1,VIOLATION DISMISSED,2016-07-19,9,110,108,2015-02-02,40.715587,-74.006212,7504,108,,,"SECTION27-2107 ADM CODE   OWNER FAILED TO FILE A VALID REGISTRATION STATEMENT WITH THE DEPARTMENT AS REQUIRED BY ADM CODE ?27-2097 AND IS THEREFORE SUBJECT TO CIVIL PENALTIES, PROHIBITED FROM CERTIFYING VIOLATIONS, AND DENIED THE RIGHT TO RECOVER POSSESSION OF PREMISES FOR NONPAYMENT OF RENT UNTIL A VALID REGISTRATION STATEMENT IS FILED.",0,,,SoHo-TriBeCa-Civic Center-Little Italy,780,,,10007,139990,,16850,DUANE STREET,10528652,Close
1,,2015-10-01,1001507504,1001645,150,1,MANHATTAN,10299,33,,I,1,1,VIOLATION DISMISSED,2016-07-19,9,110,108,2015-10-01,40.715587,-74.006212,7504,108,,,"SECTION27-2107 ADM CODE   OWNER FAILED TO FILE A VALID REGISTRATION STATEMENT WITH THE DEPARTMENT AS REQUIRED BY ADM CODE ?27-2097 AND IS THEREFORE SUBJECT TO CIVIL PENALTIES, PROHIBITED FROM CERTIFYING VIOLATIONS, AND DENIED THE RIGHT TO RECOVER POSSESSION OF PREMISES FOR NONPAYMENT OF RENT UNTIL A VALID REGISTRATION STATEMENT IS FILED.",0,,,SoHo-TriBeCa-Civic Center-Little Italy,780,,,10007,139990,,16850,DUANE STREET,10889089,Close
2,4F,2014-03-26,1001507504,1001645,150,1,MANHATTAN,10299,33,,C,1,1,VIOLATION CLOSED,2014-04-11,19,110,108,2014-03-25,40.715587,-74.006212,7504,108,,,"SECTION 27-2024 ADM CODE  PROVIDE ADEQUATE SUPPLY OF HOT WATER FOR THE FIXTURES  BATHROOM  AND KITCHEN  IN THE ENTIRE APARTMENT  LOCATED AT APT 4F, 4th STORY, 1st APARTMENT FROM NORTH AT EAST",4807971,2014-03-27,Original,SoHo-TriBeCa-Civic Center-Little Italy,577,2014-04-09,2014-04-04,10007,139990,4,16850,DUANE STREET,10185403,Close
3,4F,2014-03-26,1001507504,1001645,150,1,MANHATTAN,10299,33,,B,1,1,NOV SENT OUT,2014-03-27,2,110,108,2014-03-25,40.715587,-74.006212,7504,108,,,"SECTION 27-2045 ADM CODE  REPAIR OR REPLACE THE SMOKE DETECTOR MISSING  IN THE ENTIRE APARTMENT  LOCATED AT APT 4F, 4th STORY, 1st APARTMENT FROM NORTH AT EAST",4807970,2014-03-27,Original,SoHo-TriBeCa-Civic Center-Little Italy,702,2014-05-15,2014-05-01,10007,139990,4,16850,DUANE STREET,10185414,Open
4,4F,2014-03-26,1001507504,1001645,150,1,MANHATTAN,10299,33,,B,1,1,NOV SENT OUT,2014-03-27,2,110,108,2014-03-25,40.715587,-74.006212,7504,108,,,"SECTION 27-2046.1, 2046.2 HMC: PROVIDE AN APPROVED AND OPERATIONAL CARBON MONOXIDE DETECTING DEVICE, INSTALLED IN ACCORDANCE WITH APPLICABLE LAW AND RULES. IN THE ENTIRE APARTMENT  LOCATED AT APT 4F, 4th STORY, 1st APARTMENT FROM NORTH AT EAST",4807970,2014-03-27,Original,SoHo-TriBeCa-Civic Center-Little Italy,1502,2014-05-15,2014-05-01,10007,139990,4,16850,DUANE STREET,10185419,Open
0,,2015-10-01,1003000020,1003888,300,1,MANHATTAN,5477,16,,I,3,1,VIOLATION DISMISSED,2015-12-03,9,35,35,2015-10-01,40.715897,-73.992078,20,35,,,"SECTION27-2107 ADM CODE   OWNER FAILED TO FILE A VALID REGISTRATION STATEMENT WITH THE DEPARTMENT AS REQUIRED BY ADM CODE ?27-2097 AND IS THEREFORE SUBJECT TO CIVIL PENALTIES, PROHIBITED FROM CERTIFYING VIOLATIONS, AND DENIED THE RIGHT TO RECOVER POSSESSION OF PREMISES FOR NONPAYMENT OF RENT UNTIL A VALID REGISTRATION STATEMENT IS FILED.",0,,,Chinatown,780,,,10002,103295,,11610,ALLEN STREET,10885026,Close
