,index,bbl,bin,block,boro,boroid,buildingid,communityboard,highhousenumber,housenumber,lastregistrationdate,lot,lowhousenumber,registrationenddate,registrationid,streetcode,streetname,zip,"('businessapartment', 1)","('businesscity', 1)","('businesshousenumber', 1)","('businessstate', 1)","('businessstreetname', 1)","('businesszip', 1)","('contactdescription', 1)","('corporationname', 1)","('firstname', 1)","('lastname', 1)","('middleinitial', 1)","('registrationcontactid', 1)","('title', 1)","('type', 1)","('businessapartment', 2)","('businesscity', 2)","('businesshousenumber', 2)","('businessstate', 2)","('businessstreetname', 2)","('businesszip', 2)","('contactdescription', 2)","('corporationname', 2)","('firstname', 2)","('lastname', 2)","('middleinitial', 2)","('registrationcontactid', 2)","('title', 2)","('type', 2)","('businessapartment', 3)","('businesscity', 3)","('businesshousenumber', 3)","('businessstate', 3)","('businessstreetname', 3)","('businesszip', 3)","('contactdescription', 3)","('corporationname', 3)","('firstname', 3)","('lastname', 3)","('middleinitial', 3)","('registrationcontactid', 3)","('title', 3)","('type', 3)","('businessapartment', 4)","('businesscity', 4)","('businesshousenumber', 4)","('businessstate', 4)","('businessstreetname', 4)","('businesszip', 4)","('contactdescription', 4)","('corporationname', 4)","('firstname', 4)","('lastname', 4)","('middleinitial', 4)","('registrationcontactid', 4)","('title', 4)","('type', 4)","('businessapartment', 5)","('businesscity', 5)","('businesshousenumber', 5)","('businessstate', 5)","('businessstreetname', 5)","('businesszip', 5)","('contactdescription', 5)","('corporationname', 5)","('firstname', 5)","('lastname', 5)","('middleinitial', 5)","('registrationcontactid', 5)","('title', 5)","('type', 5)","('businessapartment', 6)","('businesscity', 6)","('businesshousenumber', 6)","('businessstate', 6)","('businessstreetname', 6)","('businesszip', 6)","('contactdescription', 6)","('corporationname', 6)","('firstname', 6)","('lastname', 6)","('middleinitial', 6)","('registrationcontactid', 6)","('title', 6)","('type', 6)","('businessapartment', 7)","('businesscity', 7)","('businesshousenumber', 7)","('businessstate', 7)","('businessstreetname', 7)","('businesszip', 7)","('contactdescription', 7)","('corporationname', 7)","('firstname', 7)","('lastname', 7)","('middleinitial', 7)","('registrationcontactid', 7)","('title', 7)","('type', 7)","('businessapartment', 8)","('businesscity', 8)","('businesshousenumber', 8)","('businessstate', 8)","('businessstreetname', 8)","('businesszip', 8)","('contactdescription', 8)","('corporationname', 8)","('firstname', 8)","('lastname', 8)","('middleinitial', 8)","('registrationcontactid', 8)","('title', 8)","('type', 8)"
0,0,1001467505,1077207,146,MANHATTAN,1,10317,1,148,148,2016-08-09,7505,148,2017-09-01,143523,16850,DUANE STREET,10013,1735,New York,3,NY,COLUMBUS CIRCLE,10019,GEN.PART,SUMMIT 148 DUANE LLC,,,,14352303.0,,CorporateOwner,1735,New York,3,NY,COLUMBUS CIRCLE,10019,GEN.PART,,EVAN,SEIDEN,,14352304.0,,Agent,1735,New York,3,NY,COLUMBUS CIRCLE,10019,GEN.PART,,EVAN,SEIDEN,,14352305.0,CEO,HeadOfficer,,,,,,,GEN.PART,,EVAN,SEIDEN,,14352313.0,,SiteManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1001507504,1001645,150,MANHATTAN,1,10299,1,110,108,2017-09-06,7504,108,2018-09-01,139990,16850,DUANE STREET,10007,9FLOOR,New York,750,NY,THIRD AVENUE,10017,CONDO,108-110 DUANE ST CONDO,,,,13999003.0,,CorporateOwner,9FLOOR,NEW YORK,750,NY,THIRD AVENUE,10017,CONDO,TAUBE MGMT REALTY LLC,JOSEPH,TAUBE,M,13999004.0,,Agent,716,NEW YORK,299,NY,BROADWAY,10007,CONDO,,MICHAEL,MAIDAN,,13999005.0,PRESIDENT,HeadOfficer,9FLOOR,NEW YORK,750,NY,THIRD AVENUE,10017,CONDO,,JOSEPH,TAUBE,M,13999006.0,SECTY,Officer,,,,,,,CONDO,,GARIBALDIS,SUAREZ,,13999013.0,,SiteManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,1003000020,1003888,300,MANHATTAN,1,5477,3,35,35,2017-08-29,20,35,2018-09-01,103295,11610,ALLEN STREET,10002,,New York,35,NY,ALLEN STREET,10002,CORP,LUCKY HUNG REALTY CORPORATION,,,,10329503.0,,CorporateOwner,,New York,35,NY,ALLEN STREET,10002,CORP,LUCKY HUNG REALTY CORPORATION,BEN,CHAN,,10329504.0,,Agent,,New York,35,NY,ALLEN STREET,10002,CORP,,BEN,CHAN,,10329505.0,PRESIDENT,HeadOfficer,,Newington,7,CT,AVERY ROAD,06111,CORP,,KIU,YEUNG,,10329506.0,VICE PRESIDENT,Officer,,,,,,,CORP,,BEN,CHAN,,10329513.0,,SiteManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,1003000021,1003889,300,MANHATTAN,1,5476,3,33,33,2018-02-01,21,33,2018-09-01,118478,11610,ALLEN STREET,10002,7,NEW YORK,95,NY,EAST BROADWAY,10002,LLC,SIU YAN REALTY LLC,,,,11847803.0,,CorporateOwner,,NEW YORK,288,NY,GRAND STREET,10002,LLC,,ALICE,NG,Y,11847804.0,,Agent,,NEW YORK,288,NY,GRAND STREET,10002,LLC,,KWOK,NG,S,11847805.0,OWNER,HeadOfficer,,NEW YORK,288,NY,GRAND STREET,10002,LLC,,ALICE,NG,Y,11847806.0,OWNER,Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,1003000022,1003890,300,MANHATTAN,1,5475,3,31,31,2018-03-21,22,31,2018-09-01,120583,11610,ALLEN STREET,10002,7,NEW YORK,95,NY,EAST BROADWAY,10002,GEN.PART,SIU HING REALTY LLC,,,,12058303.0,,CorporateOwner,,NEW YORK,288,NY,GRAND STREET,10002,GEN.PART,,ALICE,NG,F,12058304.0,,Agent,,NEW YORK,288,NY,GRAND STREET,10002,GEN.PART,,ALICE,NG,,12058305.0,OWNER,HeadOfficer,7,NEW YORK,95,NY,EAST BROADWAY,10002,GEN.PART,,KWOK,NG,S,12058306.0,OWNER,Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1003477501,1089451,347,MANHATTAN,1,979217,3,175,175,2018-07-11,7501,175,2019-09-01,144439,16310,DELANCEY STREET,10002,300,New York,1735,NY,PARK AVENUE,10035,GEN.PART,SITE 6 DSA OWNER LLC,,,,14443903.0,,CorporateOwner,300,New York,1735,NY,PARK AVENUE,10035,GEN.PART,C&C APARTMENT MANAGEMENT LLC,JOSEPH,RAMLALL,,14443904.0,,Agent,300,New York,1735,NY,PARK AVENUE,10035,GEN.PART,,RON,MOELIS,,14443905.0,,HeadOfficer,300,New York,1735,NY,PARK AVENUE,10035,GEN.PART,,SANDY,LOEWENTHEIL,,14443906.0,,Officer,,,,,,,GEN.PART,,ROCK,AHMETAJ,,14443913.0,,SiteManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,1003947507,1004907,394,MANHATTAN,1,966932,3,185,185,2017-09-28,7507,185,2018-09-01,144293,0,AVENUE B,10009,,West Orange,447,NJ,NORTHFIELD AVENUE,07052,GEN.PART,185 AVENUE B LLC,,,,14429303.0,,CorporateOwner,,New York,35,NY,WEST 33RD STREET,10001,GEN.PART,,JARED,LUSTBADER,M,14429304.0,,Agent,,West Orange,447,NJ,NORTHFIELD AVENUE,07052,GEN.PART,,JARED,LUSTBADER,M,14429305.0,MANAGER,HeadOfficer,,West Orange,447,NJ,NORTHFIELD AVENUE,07052,GEN.PART,,JARED,LUSTBADER,M,14429306.0,,Officer,,West Orange,447,NJ,NORTHFIELD AVENUE,07052,GEN.PART,,JARED,LUSTBADER,M,14429310.0,,Shareholder,,,,,,,GEN.PART,,FRANK,ZAMORA,D,14429313.0,,SiteManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,1005957509,1080177,595,MANHATTAN,1,956094,2,464,460,2018-08-29,7509,456,2019-09-01,144144,0,WASHINGTON STREET,10013,,NEW YORK,456,NY,WASHINGTON STREET,10013,GEN.PART,"BRIDGE LAND WEST , LLC",,,,14414403.0,,CorporateOwner,9FLOOR,NEW YORK,423,NY,WEST 55TH STREET,10019,GEN.PART,RELATED MANAGEMENT,BONITA,CHUNG,,14414404.0,,Agent,9FLOOR,NEW YORK,423,NY,WEST 55TH STREET,10019,GEN.PART,,TAMI,VEIKOS,,14414405.0,SENIOR VP,HeadOfficer,9FLOOR,NEW YORK,423,NY,WEST 55TH STREET,10019,GEN.PART,,MICHAEL,HERRINGTON,,14414406.0,VP,Officer,,,,,,,GEN.PART,,IVAN,MARCHUK,,14414413.0,,SiteManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,1007017501,1089360,701,MANHATTAN,1,939399,4,539,529,2017-10-13,7501,529,2018-09-01,143862,34350,WEST 29TH STREET,10001,19FLOOR,NEW YORK,60,NY,COLUMBUS CIRCLE,10023,GEN.PART,529 WEST 29TH LLC,,,,14386203.0,,CorporateOwner,,New York,529,NY,WEST 29TH STREET,10001,GEN.PART,RELATED MANAGEMENT,SABRINA,DOLLA,,14386204.0,,Agent,19FLOOR,NEW YORK,60,NY,COLUMBUS CIRCLE,10023,GEN.PART,,ANDREW,ORCHULLI,,14386205.0,VICE PRESIDENT,HeadOfficer,9FLOOR,NEW YORK,423,NY,WEST 55TH STREET,10019,GEN.PART,,JESSICA,CHIAMULERA,,14386206.0,REGIONAL VP,Officer,,,,,,,GEN.PART,,SABRINA,DOLLA,,14386213.0,,SiteManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,1007107501,1089733,710,MANHATTAN,1,953908,4,517,509,2018-06-13,7501,509,2019-09-01,144367,34530,WEST 38TH STREET,10018,16FLOOR,San Francisco,235,CA,MONTGOMERY STREET,94104,GEN.PART,HY 38 OWNER LLC,,,,14436703.0,,CorporateOwner,5FLOOR,New York,200,NY,MADISON AVENUE,10016,GEN.PART,"ROSE ASSOCIATES, INC.",ROBERT,WERNER,,14436704.0,,Agent,27FLOOR,New York,888,NY,SEVENTH AVENUE,10106,GEN.PART,,TOM,ELLIS,,14436705.0,,HeadOfficer,5FLOOR,New York,200,NY,MADISON AVENUE,10016,GEN.PART,,MITCH,GELBERG,,14436706.0,SMD,Officer,,,,,,,GEN.PART,,MALACHY,D'ARCY,,14436713.0,,SiteManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,1007207504,1077212,720,MANHATTAN,1,31352,4,421,421,2017-09-16,7504,421,2018-09-01,109261,34210,WEST 22ND STREET,10011,2S,New York,300,NY,WEST 55TH STREET,10019,CONDO,421 WEST 22 STREET CONDO,,,,10926103.0,,CorporateOwner,2S,New York,300,NY,WEST 55TH STREET,10019,CONDO,HOFFMAN MANAGEMENT,STEVEN,HOFFMAN,R,10926104.0,,Agent,2S,New York,300,NY,WEST 55TH STREET,10019,CONDO,,MARK,HOFFMAN,S,10926105.0,ASST. SECRETARY,HeadOfficer,,,,,,,CONDO,,JORGE,PAIVA,,10926113.0,,SiteManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,1008067502,1088841,806,MANHATTAN,1,945214,5,855,855,2017-08-15,7502,855,2018-09-01,143930,10510,AVENUE OF THE AMERICAS,10001,49FLOOR,New York,ONE,NY,BRYANT PARK,10036,GEN.PART,855 MRU LLC,,,,14393003.0,,CorporateOwner,49FLOOR,New York,ONE,NY,BRYANT PARK,10036,GEN.PART,ROYAL REALTY CORP,DAN,MOGOLESKO,,14393004.0,,Agent,49FLOOR,New York,ONE,NY,BRYANT PARK,10036,GEN.PART,,JONATHAN,DURST,,14393005.0,,HeadOfficer,,,,,,,GEN.PART,,JORGE,CAMUS,,14393013.0,,SiteManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,1008237507,1015532,823,MANHATTAN,1,966614,5,13,7,2018-08-23,7507,7,2019-09-01,144309,34190,WEST 21ST STREET,10010,5FLOOR,New York,200,NY,MADISON AVENUE,10016,GEN.PART,7 WEST 21 LLC C/O ROSE ASSOC,,,,14430903.0,,CorporateOwner,5FLOOR,New York,200,NY,MADISON AVENUE,10016,GEN.PART,"ROSE ASSOCIATES, INC.",BRIAN,KENNY,,14430904.0,,Agent,11FLOOR,New York,500,NY,PARK AVENUE,10022,GEN.PART,,ERIC,FRIEDLAND,,14430905.0,MEMBER,HeadOfficer,11FLOOR,New York,500,NY,PARK AVENUE,10022,GEN.PART,,WILLIAM,FRIEDLAND,,14430906.0,MEMBER,Officer,,,,,,,GEN.PART,,TROTSKY,DENIZE,,14430913.0,,SiteManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
