index,date_utc,full_text,geoenabled,location,long_lat,user
0,Thu Aug 29 23:30:07 +0000 2019,#custommade #countdowntoNas #lookformeatCanalside 8.30.19 @ Canalside Live Concert Series https://t.co/pljP71AzvT,TRUE,"B-lo, NY","{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",my1sttime
1,Thu Aug 29 10:41:21 +0000 2019,Long weekend vibes 👗☀️😊👻❤️ @ Buffalo Waterfront https://t.co/btqG7TNCRw,TRUE,"Brampton, ON","{'type': 'Point', 'coordinates': [-78.87860439, 42.87714304]}",KomalMoondi
2,Wed Aug 28 20:39:21 +0000 2019,@sociald1 @mikeness @ Canalside Live Concert Series https://t.co/BfTHLNgKn7,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",pattyla16
3,Wed Aug 28 20:37:23 +0000 2019,@floggingmolly @ Canalside Live Concert Series https://t.co/g9U3gdtSFZ,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",pattyla16
4,Wed Aug 28 20:36:26 +0000 2019,@floggingmolly @ Canalside Live Concert Series https://t.co/6VZ8wt0VRY,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",pattyla16
5,Wed Aug 28 20:32:28 +0000 2019,#TheDevilMakesThree @thedevilmakes3 djheppel68 @ Canalside Live Concert Series https://t.co/DM78t5uSC9,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",pattyla16
6,Wed Aug 28 15:00:03 +0000 2019,@buffalolibrary Library on Wheels is at EPIC story time at Canalside! https://t.co/6vLfZVmosG,TRUE,Buffalo,,sampurpora
7,Wed Aug 28 10:42:04 +0000 2019,"Fun in the rain buffalowaterfront 
@floggingmolly. #floggingmolly #justsayingbuffalo 😁🌧😁 @ Buffalo Waterfront https://t.co/YN3TcVWrVl",TRUE,"South BUFFALO, NY","{'type': 'Point', 'coordinates': [-78.87860439, 42.87714304]}",annieruok1975
8,Wed Aug 28 06:14:42 +0000 2019,HAPPINESS BEGINS https://t.co/k5eCtJCsxf,TRUE,"Syracuse, NY",,ClaryJessica
9,Wed Aug 28 05:29:31 +0000 2019,MAKE AMERICA GREAT AGAIN. I wish I had recorded the awkward silence as he let the crowd stew on the point he was making. Great feeling when you see yourself given a voice to a few thousand ears. Thank you sir… https://t.co/j45epTsPaz,TRUE,"Hell, NY","{'type': 'Point', 'coordinates': [-78.87860439, 42.87714304]}",DaniAllNight
10,Wed Aug 28 04:18:36 +0000 2019,Great road trip to see Social D! @sociald1  Good time had by all. Bonus was no border wait and the venue was serving a fav beer - Hayburner @bigditchbrewing #supportlivemusic #music #crafter #buffalony @ Canalside… https://t.co/aRIOI4Ebq7,TRUE,"Vineland, ON","{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",wine_gems
11,Wed Aug 28 02:54:18 +0000 2019,When you decide on a whim to buy a ticket to knock another band off your list and stay until they play your fave song of theirs and it's the last one. #storyofmylife @ Canalside Live Concert Series https://t.co/FOvMlfsVR0,TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",namcopunk
12,Wed Aug 28 02:03:29 +0000 2019,Concert drunk on a Tuesday night 🤷🏻‍♀️ https://t.co/TwI5xduraZ,TRUE,"ÜT: 42.956801,-78.875791",,suzy87
13,Wed Aug 28 00:33:30 +0000 2019,#floggingmolly @ Canalside Live Concert Series https://t.co/oFKPVf7gG3,TRUE,,"{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",TBobTarpy
14,Wed Aug 28 00:14:03 +0000 2019,Drinking a Westward by @ThinManBrewery at @libertyhoundbuf — https://t.co/yhtBfuryel,TRUE,"Bronx, NY","{'type': 'Point', 'coordinates': [-78.8797, 42.8773]}",BXdannyZ
15,Wed Aug 28 00:03:54 +0000 2019,"I'm at Canalside for Social Distortion in Buffalo, NY https://t.co/By4WVd4vxM",TRUE,Niagara Falls NY,"{'type': 'Point', 'coordinates': [-78.87882603, 42.87705763]}",tmajic
